Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
530592,324842,-0.064144,52.805301,32,3,2,1,27-02-14,5,8:13,354,E10000019,3,151,6,30,3,4,4,1357,0,0,1,8,2,0,0,2,1,E01026282
247507,54801,-4.145894,50.373222,50,3,2,2,09-12-14,3,9:01,583,E06000026,6,0,3,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01015152
388698,159675,-2.163644,51.335999,54,3,2,1,19-05-14,2,5:50,635,E06000054,3,361,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01032077
424226,189187,-1.651628,51.600959,43,3,1,1,17-08-14,1,11:24,483,E10000025,6,345,6,30,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01028745
525010,186440,-0.197908,51.562939,1,3,1,1,28-10-14,3,12:21,30,E09000003,3,407,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000140
313931,197237,-3.245946,51.667249,61,3,2,2,09-05-14,6,12:15,731,W06000018,4,4254,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,W01001414
527430,165840,-0.170436,51.377264,1,3,1,1,08-05-14,5,16:15,21,E09000029,5,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01004163
438134,423051,-1.423836,53.702501,13,3,2,1,16-05-14,6,16:00,206,E08000036,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,2,1,E01011883
254756,132385,-4.074596,51.072308,50,3,2,1,23-10-14,5,8:45,582,E10000008,3,3125,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01020123
382734,387947,-2.26108,53.388068,6,3,2,5,21-09-14,1,19:29,102,E08000003,6,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01005089
