Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
358421,171727,-2.599669,51.442949,52,3,2,1,14-10-14,3,15:01,601,E06000023,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01033361
477630,262204,-0.864215,52.252508,34,3,2,1,25-07-14,6,16:55,384,E10000021,6,8026,6,30,6,4,6,8466,0,0,1,1,1,0,0,1,1,E01027170
457592,450362,-1.124017,53.946166,12,3,2,1,18-04-14,6,13:45,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013447
169724,42063,-5.230457,50.233543,50,3,1,1,20-10-14,2,19:36,596,E06000052,4,3300,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01018911
310552,194939,-3.294204,51.646064,61,3,2,1,31-01-14,6,14:18,731,W06000018,6,0,6,40,0,-1,-1,0,0,0,1,5,5,0,0,1,1,W01001378
532630,182700,-0.089448,51.52759,1,3,2,1,25-10-14,7,23:20,3,E09000019,3,501,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01002701
429212,161451,-1.581926,51.351337,54,2,3,2,07-12-14,1,16:44,635,E06000054,3,338,6,60,6,4,5,74,0,0,6,1,1,0,0,2,1,E01031877
395278,224299,-2.070078,51.917156,53,3,2,1,12-03-14,4,19:15,620,E10000013,3,435,6,60,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01022143
526670,182970,-0.175221,51.531384,1,3,1,1,09-02-14,1,16:56,1,E09000033,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004651
360020,233140,-2.58373,51.995219,22,3,1,1,29-08-14,6,23:15,285,E06000019,4,4224,6,60,3,4,6,0,0,0,6,1,1,0,0,2,1,E01014054
384832,399200,-2.230081,53.489281,6,3,2,1,02-04-14,4,12:00,102,E08000003,3,664,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033651
311738,207066,-3.28014,51.755262,61,3,2,3,10-07-14,5,16:05,731,W06000018,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,2,1,W01001375
533830,180890,-0.072846,51.511042,48,3,2,1,04-09-14,5,7:05,570,E09000001,3,1210,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000005
325140,673800,-3.200383,55.95142,95,3,1,1,16-07-14,4,7:30,923,S12000036,3,8,3,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,
535960,180990,-0.042132,51.511432,1,3,2,1,02-07-14,4,19:30,5,E09000030,4,126,6,30,3,4,4,126,0,0,1,1,1,0,0,1,2,E01004303
412930,289220,-1.810965,52.500702,20,3,2,1,15-12-14,2,17:33,300,E08000025,6,0,6,30,3,4,6,0,0,0,4,1,4,0,0,1,1,E01009085
572131,281025,0.528719,52.40013,37,3,2,2,22-01-14,4,17:45,411,E10000029,4,1112,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01029942
446500,341530,-1.309064,52.969099,30,3,1,1,12-12-14,6,11:15,324,E10000007,5,337,6,30,0,-1,-1,0,0,0,1,8,1,0,0,1,1,E01019660
518417,431223,-0.205034,53.7639,16,3,2,2,21-10-14,3,13:30,231,E06000011,4,1239,6,40,8,4,6,0,0,0,1,4,1,0,0,2,1,E01013094
439125,559831,-1.390937,54.931651,10,3,2,1,01-07-14,3,20:15,150,E08000024,3,1018,3,40,3,4,6,5356,0,0,1,1,1,0,0,2,1,E01008713
522380,428828,-0.145895,53.741469,16,2,1,2,19-07-14,7,5:18,231,E06000011,4,1362,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013028
573619,220754,0.519824,51.858314,42,3,1,1,31-05-14,7,15:17,451,E10000012,3,131,3,60,1,4,6,0,0,0,1,1,1,0,0,2,1,E01021385
506610,181820,-0.464649,51.525189,1,3,2,1,25-07-14,6,18:00,26,E09000017,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002412
472465,261732,-0.939965,52.248969,34,2,2,1,13-10-14,2,15:14,384,E10000021,6,8065,6,30,0,-1,-1,0,0,0,1,8,2,0,0,1,1,E01027213
482052,388283,-0.767809,53.385015,32,3,1,1,22-06-14,1,11:37,356,E10000019,3,156,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01026382
267621,858028,-4.216341,57.592884,91,2,1,1,07-01-14,3,16:15,927,S12000017,6,0,6,30,0,-1,-1,0,0,0,6,1,2,0,0,2,1,
328210,670660,-3.150395,55.923682,95,2,2,1,18-01-14,7,8:30,923,S12000036,3,7,6,30,3,4,6,0,0,5,5,1,2,0,0,1,1,
415791,430673,-1.761891,53.772158,13,3,2,2,03-06-14,3,6:40,200,E08000032,3,641,3,30,6,2,3,6177,0,5,1,2,2,0,0,1,1,E01010745
521440,177850,-0.252345,51.486517,1,3,2,1,30-01-14,5,7:20,25,E09000018,3,4,1,30,1,4,3,316,0,0,4,1,2,0,0,1,1,E01002569
247796,56721,-4.142611,50.390552,50,3,2,1,27-03-14,5,7:35,583,E06000026,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01015105
406240,288460,-1.909531,52.493986,20,3,3,1,15-09-14,2,14:30,300,E08000025,3,41,1,30,1,4,3,4540,0,0,1,1,1,0,0,1,2,E01033638
