id,author,conference,mdate,title,year
2435271,"Fernando Chirigati,Harish Doraiswamy,Juliana Freire,Theodoros Damoulas",SIGMOD Conference,06-11-18,Data Polygamy: The Many-Many Relationships among Urban Spatio-Temporal Data Sets.,2016
2435305,"Brendan Lee,Jennifer Ortiz,Magdalena Balazinska",SIGMOD Conference,06-11-18,PerfEnforce Demonstration: Data Analytics with Performance Guarantees.,2016
2435346,"Da Yan,James Cheng,Qizhen Zhang",SIGMOD Conference,06-11-18,Quegel: A General-Purpose System for Querying Big Graphs.,2016
2435348,"Bin Wu 0003,Feifei Li 0001,Ke Yi,Zhuoyue Zhao",SIGMOD Conference,06-11-18,Wander Join: Online Aggregation via Random Walks.,2016
2435374,"Alon Y. Halevy,Christopher Olston,Flip Korn,Natalya Fridman Noy,Neoklis Polyzotis,Steven Euijong Whang,Sudip Roy 0002",SIGMOD Conference,14-11-18,Goods: Organizing Google's Datasets.,2016
2435395,"Anthony K. H. Tung,Qi Guo,Sai Wu,Yuxin Zheng",SIGMOD Conference,06-11-18,LazyLSH: Approximate Nearest Neighbor Search for Multiple Distance Functions with a Single Index.,2016
2435399,"Alfons Kemper,Andreas Kipf,Dimitri Vorona,Thomas Neumann 0001,Tobias Mühlbauer,Varun Pandey",SIGMOD Conference,06-11-18,High-Performance Geospatial Analytics in HyPerSpace.,2016
2435402,"Amirhesam Shahvarani,Hans-Arno Jacobsen",SIGMOD Conference,06-11-18,A Hybrid B+-tree as Solution for In-Memory Indexing on CPU-GPU Heterogeneous Computing Platforms.,2016
2435430,"Anastasia Ailamaki,Panagiotis Sioulas",SIGMOD Conference,06-11-18,Vectorizing an In Situ Query Engine.,2016
2435515,"Hung T. Nguyen 0003,My T. Thai,Thang N. Dinh",SIGMOD Conference,06-11-18,Stop-and-Stare: Optimal Sampling Algorithms for Viral Marketing in Billion-scale Networks.,2016
2435529,"Ahmed K. Elmagarmid,Divy Agrawal,Hossam Hammady,Jorge-Arnulfo Quiané-Ruiz,Laure Berti-Équille,Mohammed J. Zaki,Mouhamadou Lamine Ba,Mourad Ouzzani,Nan Tang 0001,Paolo Papotti,Sanjay Chawla,Sebastian Kruse 0001,Yasser Idris,Zoi Kaoudi,Zuhair Khayyat",SIGMOD Conference,06-11-18,Rheem: Enabling Multi-Platform Task Execution.,2016
2435551,"Bolin Ding,Chi Wang 0001,Kaushik Chakrabarti,Silu Huang,Surajit Chaudhuri",SIGMOD Conference,06-11-18,Sample + Seek: Approximating Aggregates with Distribution Precision Guarantee.,2016
